ID,Tanggal,Jenis,Nama Transaksi,Akun,Akun Tujuan (Transfer),Anggota,Kategori,Jumlah (IDR),Catatan
1,2026-01-06 09:53:17,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
2,2026-01-06 09:54:27,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,18000,tengah hari coffee
3,2026-01-06 11:21:16,Pemasukan,basedata.wage,BRI,,basedata.myself,Mingguan Ortu,300000,
4,2026-01-06 11:51:40,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
5,2026-01-06 15:55:20,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,17000,telur
6,2026-01-06 15:55:20,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,mentos
7,2026-01-07 09:12:47,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,4000,isi ulang galon
8,2026-01-07 09:12:47,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,30000,chicken pok pok
9,2026-01-07 09:12:47,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,mentos
10,2026-01-07 09:12:47,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",5000,
11,2026-01-07 09:13:21,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
12,2026-01-07 09:13:21,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,22000,nordu coffee
13,2026-01-07 14:03:02,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
14,2026-01-08 14:43:31,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
15,2026-01-08 14:43:31,Pengeluaran,basedata.recreation,UANG CASH,,basedata.myself,basedata.recreation,2000,domino
16,2026-01-09 12:26:36,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,18000,wet food
17,2026-01-09 12:26:36,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,30000,pentol pemko
18,2026-01-09 12:26:36,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,20000,pentol goreng
19,2026-01-09 12:26:36,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,minum
20,2026-01-09 13:56:08,Pemasukan,basedata.wage,BRI,,basedata.myself,Mingguan Ortu,300000,
21,2026-01-10 10:59:34,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
22,2026-01-10 10:59:34,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,6000,pempek hksn
